frame,time_s,detected,handedness,score,pos_Thumb,pos_ThumbRot,pos_Index,pos_Middle,pos_Ring,pos_Pinky,angle_ThumbFlex,angle_ThumbAbd,angle_Index,angle_Middle,angle_Ring,angle_Pinky
265,2.308,1,Left,0.957,316,316,431,380,322,302,164.32,107.89,141.35,147.29,152.53,153.85
266,2.316,1,Left,0.95,316,316,427,371,312,292,164.6,107.41,141.91,147.89,153.14,154.85
267,2.325,1,Left,0.955,312,312,426,365,308,290,164.25,110.82,141.77,147.92,152.72,153.81
268,2.333,1,Left,0.947,314,314,427,362,306,292,163.65,109.04,141.16,147.47,152.44,152.98
269,2.342,1,Left,0.955,313,313,428,363,306,295,164.05,109.39,141.25,147.02,151.93,152.68
270,2.35,1,Left,0.954,317,317,433,371,315,306,164.08,106.13,140.08,144.88,149.93,150.35
271,2.36,1,Left,0.961,314,314,436,380,324,315,163.95,110.98,140.08,144.04,149.05,149.62
272,2.368,1,Left,0.946,314,314,442,395,340,333,164.84,107.12,139.02,141.74,146.42,146.89
273,2.376,1,Left,0.957,316,316,448,395,337,328,163.83,108.09,138.72,144.33,149.76,150.85
274,2.385,1,Left,0.953,317,317,446,397,339,328,164.82,105.51,140.11,143.76,148.88,150.28
275,2.393,1,Left,0.959,315,315,442,391,333,325,164.86,108.63,140.8,145.58,150.68,150.72
276,2.402,1,Left,0.963,321,321,443,394,335,326,164.58,102.71,139.86,143.88,149.26,150.29
277,2.41,1,Left,0.96,323,323,437,390,331,320,164.86,104.37,141.53,145.17,150.43,151.71
278,2.419,1,Left,0.958,321,321,436,393,334,324,165.48,105.0,140.87,143.94,149.11,149.93
279,2.427,1,Left,0.958,316,316,428,385,328,317,164.69,109.17,142.48,146.37,151.18,152.25
280,2.436,1,Left,0.96,320,320,427,386,329,319,164.68,104.2,141.57,144.92,149.95,150.59
281,2.444,1,Left,0.961,318,318,428,386,328,318,164.23,108.45,141.19,144.93,150.16,151.12
282,2.453,1,Left,0.958,319,319,436,394,336,329,164.62,105.66,139.39,143.13,148.15,148.23
283,2.461,1,Left,0.961,323,323,434,396,338,331,164.86,103.04,141.08,143.79,149.04,149.53
284,2.47,1,Left,0.96,320,320,440,403,344,339,163.61,109.72,139.35,142.48,147.79,148.02
285,2.479,1,Left,0.951,320,320,444,405,348,344,164.63,106.35,139.32,143.09,147.72,147.8
286,2.487,1,Left,0.957,325,325,433,393,337,332,163.65,104.75,142.56,146.2,151.14,151.84
287,2.495,1,Left,0.965,324,324,442,407,350,348,163.55,107.41,138.62,141.06,146.0,145.84
288,2.504,1,Left,0.963,328,328,442,406,351,348,164.48,102.33,140.16,143.26,147.98,148.27
289,2.512,1,Left,0.962,325,325,438,397,341,335,164.27,107.03,141.06,145.53,150.71,151.71
290,2.521,1,Left,0.964,328,328,434,393,336,329,164.45,102.73,141.51,145.22,150.34,151.05
291,2.529,1,Left,0.97,331,331,439,400,342,335,164.12,103.39,139.55,142.52,147.92,148.47
292,2.538,1,Left,0.962,337,337,441,411,353,346,164.77,98.34,139.97,141.12,146.06,146.86
293,2.546,1,Left,0.966,335,335,444,415,357,352,164.69,103.59,139.36,141.86,147.01,146.92
294,2.555,1,Left,0.955,340,340,446,418,358,351,164.82,98.07,139.44,141.73,147.28,148.33
295,2.563,1,Left,0.96,334,334,445,410,350,344,165.13,104.54,140.01,144.12,149.56,149.89
296,2.571,1,Left,0.963,334,334,439,401,338,329,164.97,101.62,141.26,145.31,151.09,152.46
297,2.58,1,Left,0.962,331,331,447,418,359,352,164.85,104.13,138.36,139.52,144.11,144.4
298,2.588,1,Left,0.958,335,335,453,427,370,364,164.54,100.66,138.15,139.77,144.52,145.03
299,2.597,1,Left,0.966,335,335,447,416,357,351,164.84,101.36,140.63,144.2,149.65,150.13
300,2.605,1,Left,0.96,334,334,445,411,351,342,164.91,102.31,140.11,143.71,149.21,150.29
301,2.614,1,Left,0.952,335,335,438,399,340,328,165.09,100.85,141.81,145.79,150.82,152.57
302,2.622,1,Left,0.959,333,333,435,391,333,323,164.79,103.27,141.16,145.85,150.91,151.34
303,2.63,1,Left,0.961,329,329,434,382,321,311,165.74,103.32,141.07,146.84,152.58,153.68
304,2.639,1,Left,0.961,329,329,432,387,327,316,165.48,101.93,141.28,144.26,149.39,150.3
305,2.647,1,Left,0.956,328,328,434,386,326,316,165.12,103.65,140.48,145.02,150.4,151.06
306,2.656,1,Left,0.967,329,329,438,391,329,320,164.74,102.93,139.77,143.86,149.55,150.29
307,2.664,1,Left,0.958,334,334,441,406,346,337,164.82,99.71,139.69,140.8,145.7,146.54
308,2.673,1,Left,0.961,333,333,436,392,334,324,164.92,102.49,141.54,146.7,151.7,152.7
309,2.681,1,Left,0.959,327,327,433,381,322,314,164.88,106.5,141.35,147.22,152.53,153.06
310,2.69,1,Left,0.955,327,327,440,403,347,340,164.88,103.67,139.2,140.02,144.44,144.81
311,2.698,1,Left,0.961,325,325,439,396,340,338,165.01,104.87,140.58,145.38,150.13,149.68
312,2.707,1,Left,0.958,326,326,436,390,332,327,165.35,102.66,141.18,145.63,151.15,151.88
313,2.715,1,Left,0.958,332,332,440,404,348,346,164.3,101.32,139.68,141.11,145.72,145.56
314,2.724,1,Left,0.958,330,330,432,391,334,328,165.27,102.83,142.24,146.68,152.01,152.92
315,2.732,1,Left,0.961,326,326,439,404,347,346,165.28,105.42,139.11,141.45,146.36,145.65
316,2.741,1,Left,0.955,325,325,439,406,349,346,164.95,104.67,140.43,142.88,147.94,148.61
317,2.749,1,Left,0.963,321,321,443,411,354,353,165.43,105.81,139.38,141.98,146.96,146.66
318,2.757,1,Left,0.958,319,319,440,407,349,346,165.56,105.35,140.69,144.0,149.04,149.74
319,2.766,1,Left,0.968,320,320,440,401,342,340,164.64,105.34,140.18,144.55,150.01,150.24
320,2.775,1,Left,0.959,318,318,441,394,335,328,164.59,108.1,140.12,145.36,150.73,151.94
321,2.783,1,Left,0.963,323,323,439,396,336,326,164.81,102.74,140.67,143.97,149.14,150.55
322,2.792,1,Left,0.955,320,320,437,393,334,323,164.23,108.15,140.99,144.89,150.09,150.99
323,2.8,1,Left,0.964,321,321,439,392,330,319,165.04,104.92,140.03,144.77,150.48,151.73
324,2.809,1,Left,0.953,324,324,443,408,351,343,164.38,103.89,139.34,140.4,144.8,144.74
325,2.817,1,Left,0.953,321,321,442,397,339,332,165.11,106.38,140.24,145.81,151.22,151.72
326,2.826,1,Left,0.956,322,322,444,398,336,328,164.94,104.15,139.63,143.9,149.79,150.78
327,2.834,1,Left,0.946,321,321,446,406,346,337,165.4,105.04,139.48,142.06,146.92,147.88
328,2.843,1,Left,0.957,318,318,438,394,335,325,164.94,106.98,141.72,146.26,151.38,152.43
329,2.852,1,Left,0.955,314,314,437,384,324,317,165.17,108.83,140.72,146.77,152.2,152.42
330,2.861,1,Left,0.941,312,312,446,401,344,336,164.81,108.47,138.14,141.0,145.4,146.19
331,2.87,1,Left,0.954,316,316,446,395,337,328,164.53,105.22,139.89,145.16,150.61,151.53
332,2.878,1,Left,0.956,320,320,447,404,346,334,165.2,103.46,139.44,141.96,147.04,148.53
333,2.887,1,Left,0.949,319,319,451,416,359,347,165.47,104.96,138.81,140.59,145.32,146.31
334,2.895,1,Left,0.961,317,317,451,413,355,346,164.87,107.6,139.24,143.15,148.37,148.62
335,2.903,1,Left,0.947,317,317,452,412,352,341,165.35,105.03,139.12,142.92,148.42,149.75
336,2.912,1,Left,0.941,315,315,444,406,348,337,165.94,105.85,141.11,144.24,149.07,149.96
337,2.92,1,Left,0.951,312,312,440,395,336,326,164.75,108.94,140.88,146.1,151.38,152.17
338,2.929,1,Left,0.949,313,313,442,395,335,324,165.61,105.57,139.91,144.21,149.75,150.77
339,2.937,1,Left,0.936,313,313,448,410,353,341,165.34,106.18,138.57,140.35,145.01,146.35
340,2.946,1,Left,0.959,316,316,441,395,337,325,164.92,105.12,141.22,146.71,151.98,152.89
341,2.954,1,Left,0.955,313,313,446,397,336,328,165.46,107.51,138.98,143.77,149.45,149.82
342,2.963,1,Left,0.935,312,312,453,411,354,347,164.87,108.75,138.06,140.53,144.94,145.42
343,2.971,1,Left,0.957,318,318,451,401,342,333,163.99,104.99,139.48,145.34,150.94,151.89
344,2.979,1,Left,0.952,320,320,451,400,338,326,165.31,103.9,139.52,143.96,149.81,151.5
345,2.988,1,Left,0.942,316,316,455,423,369,359,165.38,107.29,138.34,137.94,141.57,141.98
346,2.996,1,Left,0.949,321,321,446,407,351,341,164.13,104.31,141.04,146.04,151.11,152.02
347,3.004,1,Left,0.965,323,323,448,400,341,333,164.68,104.55,139.34,144.95,150.57,151.04
348,3.013,1,Left,0.954,328,328,457,428,374,364,164.5,102.02,137.34,136.64,140.65,141.89
349,3.021,1,Left,0.954,328,328,469,448,397,384,165.15,102.63,135.79,136.45,140.31,142.0
350,3.029,1,Left,0.945,326,326,471,454,405,390,165.53,103.91,137.19,137.92,142.08,143.65
351,3.038,1,Left,0.959,327,327,471,455,405,394,164.5,104.09,137.44,138.89,143.34,143.72
352,3.046,1,Left,0.936,328,328,457,436,385,372,165.39,102.04,141.15,143.59,148.43,149.77
353,3.055,1,Left,0.956,325,325,448,418,365,356,164.5,106.02,141.04,145.12,150.2,150.4
354,3.063,1,Left,0.958,322,322,443,407,351,344,165.19,105.69,140.75,144.97,150.4,150.71
355,3.072,1,Left,0.951,324,324,441,408,352,345,165.16,102.87,140.46,143.04,147.91,148.37
356,3.08,1,Left,0.967,326,326,444,412,354,350,164.64,104.03,139.36,142.11,147.5,147.52
357,3.088,1,Left,0.958,328,328,451,423,364,359,164.97,102.54,138.31,140.06,145.27,145.8
358,3.096,1,Left,0.954,324,324,448,420,362,356,165.37,105.37,139.91,142.44,147.52,148.19
359,3.105,1,Left,0.954,321,321,444,417,360,354,165.33,105.29,140.53,142.92,147.71,148.08
