frame,time_s,detected,handedness,score,pos_Thumb,pos_ThumbRot,pos_Index,pos_Middle,pos_Ring,pos_Pinky,angle_ThumbFlex,angle_ThumbAbd,angle_Index,angle_Middle,angle_Ring,angle_Pinky
60,0.553,1,Left,0.969,338,338,445,431,372,356,165.21,98.27,140.27,142.09,147.3,148.76
61,0.562,1,Left,0.954,338,338,448,439,382,369,165.83,98.84,139.14,138.85,143.8,144.38
62,0.571,1,Left,0.962,335,335,443,423,367,353,165.92,100.95,140.85,144.42,149.17,150.6
63,0.579,1,Left,0.957,332,332,442,425,367,354,165.73,102.47,140.21,141.38,146.58,147.65
64,0.588,1,Left,0.954,331,331,446,436,378,367,165.87,100.87,139.14,138.85,144.05,144.61
65,0.596,1,Left,0.951,332,332,446,445,389,379,166.18,99.11,139.72,138.35,142.86,143.61
66,0.605,1,Left,0.957,330,330,441,437,384,377,165.08,103.08,140.99,141.88,146.13,146.08
67,0.613,1,Left,0.958,332,332,446,446,392,382,166.15,98.69,138.99,138.26,143.21,144.55
68,0.622,1,Left,0.952,328,328,452,457,401,388,165.99,103.34,138.23,137.1,142.13,143.96
69,0.63,1,Left,0.936,321,321,454,454,399,381,167.27,103.31,138.67,139.43,144.45,146.61
70,0.639,1,Left,0.959,327,327,462,472,418,401,165.3,99.97,137.07,134.59,139.02,140.48
71,0.648,1,Left,0.95,325,325,464,472,417,405,165.75,103.35,137.8,137.4,142.55,142.65
72,0.658,1,Left,0.962,324,324,461,468,410,399,165.54,103.34,139.05,138.61,143.97,144.85
73,0.667,1,Left,0.96,326,326,454,456,401,392,165.57,101.93,140.2,140.83,145.3,145.63
74,0.676,1,Left,0.969,325,325,456,455,399,391,164.88,104.79,138.44,139.1,144.23,144.78
75,0.684,1,Left,0.958,323,323,452,446,390,381,166.01,103.19,139.98,141.29,146.04,147.15
76,0.693,1,Left,0.962,324,324,436,420,367,356,165.28,103.1,143.07,146.23,150.43,151.67
77,0.702,1,Left,0.955,321,321,438,420,367,356,165.74,104.83,140.27,142.09,146.79,147.87
78,0.71,1,Left,0.971,322,322,430,402,348,331,166.07,102.21,142.4,146.54,151.54,153.91
79,0.719,1,Left,0.972,325,325,442,417,360,341,165.55,101.0,138.17,139.81,145.28,147.25
80,0.728,1,Left,0.937,322,322,446,424,366,348,165.2,105.68,139.13,140.5,145.75,147.45
81,0.736,1,Left,0.95,320,320,440,415,356,337,165.61,104.66,141.13,143.92,149.26,151.16
82,0.745,1,Left,0.959,317,317,434,405,346,327,165.62,106.49,141.74,145.08,150.32,151.87
83,0.753,1,Left,0.966,314,314,433,391,330,313,165.56,106.69,141.09,146.87,152.42,153.62
84,0.762,1,Left,0.969,322,322,437,398,337,321,165.11,100.87,139.8,142.86,148.25,149.53
85,0.771,1,Left,0.967,316,316,432,389,329,315,165.02,108.9,141.9,146.29,151.3,152.14
86,0.779,1,Left,0.964,322,322,437,402,342,327,165.34,101.51,139.65,141.46,146.86,148.38
87,0.788,1,Left,0.969,323,323,433,400,340,326,165.22,103.68,141.62,144.15,149.47,150.33
88,0.796,1,Left,0.963,326,326,428,397,338,323,165.01,102.31,142.17,144.66,149.57,151.11
89,0.805,1,Left,0.966,324,324,427,393,333,321,164.93,105.54,141.56,145.01,150.36,150.99
90,0.814,1,Left,0.949,320,320,431,399,341,329,165.54,106.21,140.4,142.83,147.8,148.75
91,0.822,1,Left,0.969,321,321,434,400,340,331,165.13,104.11,140.31,143.62,149.2,149.68
92,0.831,1,Left,0.957,321,321,436,402,342,329,165.15,104.82,140.42,143.23,148.68,150.27
93,0.839,1,Left,0.952,320,320,435,400,339,324,165.39,104.78,140.91,144.16,149.63,151.34
94,0.848,1,Left,0.96,317,317,433,389,328,315,165.14,107.65,141.26,146.54,151.94,152.82
95,0.856,1,Left,0.969,319,319,434,386,324,312,164.79,104.83,140.61,145.49,151.07,151.98
96,0.865,1,Left,0.959,322,322,443,403,341,329,165.02,103.27,138.48,140.88,146.23,147.1
97,0.873,1,Left,0.962,326,326,452,419,357,348,164.32,103.48,137.65,139.47,144.93,145.36
98,0.882,1,Left,0.942,320,320,454,425,363,351,165.57,106.9,138.77,140.72,145.99,147.61
99,0.891,1,Left,0.956,317,317,449,411,350,335,165.58,106.71,140.21,144.9,150.42,152.28
100,0.899,1,Left,0.966,317,317,448,404,341,327,164.9,105.94,139.75,144.71,150.41,151.45
101,0.907,1,Left,0.951,314,314,448,407,346,333,165.37,107.67,139.55,142.78,147.86,148.7
102,0.916,1,Left,0.954,312,312,457,417,356,344,164.94,108.58,137.34,140.51,145.88,146.9
103,0.924,1,Left,0.933,306,306,465,428,370,356,165.34,110.78,136.75,139.5,144.19,145.71
104,0.933,1,Left,0.953,307,307,463,421,361,346,164.75,109.0,138.53,143.26,148.72,150.28
105,0.941,1,Left,0.952,306,306,458,416,357,342,165.23,108.63,139.58,143.21,148.32,149.5
106,0.95,1,Left,0.955,305,305,457,406,347,329,164.72,110.14,139.0,144.74,150.11,152.15
107,0.958,1,Left,0.944,301,301,461,408,348,329,165.48,110.84,137.76,142.79,148.22,150.05
108,0.967,1,Left,0.952,305,305,462,409,348,329,164.63,108.6,138.07,142.99,148.41,150.08
109,0.976,1,Left,0.944,303,303,458,401,338,319,165.63,109.04,139.44,145.06,150.77,152.58
110,0.984,1,Left,0.959,306,306,459,404,341,323,165.17,107.11,138.53,142.92,148.55,149.8
111,0.992,1,Left,0.947,308,308,461,419,358,344,164.76,108.56,138.2,139.63,144.85,145.46
112,1.001,1,Left,0.94,307,307,466,428,366,354,165.23,108.49,137.22,139.75,145.3,146.26
113,1.01,1,Left,0.954,305,305,464,427,365,353,165.37,109.36,138.45,141.73,147.1,148.15
114,1.018,1,Left,0.955,304,304,462,417,355,342,164.96,109.67,138.67,143.95,149.4,150.71
115,1.027,1,Left,0.951,303,303,458,411,350,336,165.21,110.09,139.29,143.77,149.05,150.38
116,1.035,1,Left,0.943,305,305,458,406,345,330,164.69,109.25,138.74,144.0,149.32,150.91
117,1.044,1,Left,0.94,303,303,458,409,348,332,165.21,110.07,138.72,142.69,147.91,149.54
118,1.054,1,Left,0.946,306,306,452,402,341,323,164.52,108.75,140.19,144.81,150.08,151.91
119,1.063,1,Left,0.951,308,308,453,405,343,325,165.01,107.36,139.07,142.9,148.67,150.14
120,1.072,1,Left,0.941,308,308,458,417,353,337,164.88,108.86,137.91,140.38,146.16,147.41
121,1.081,1,Left,0.942,308,308,459,419,356,339,165.42,107.34,138.33,141.67,147.25,148.94
122,1.09,1,Left,0.949,308,308,459,422,358,342,165.12,108.24,138.64,141.41,147.25,148.27
123,1.099,1,Left,0.939,310,310,463,433,370,356,164.56,108.15,137.73,139.03,144.46,145.58
124,1.107,1,Left,0.935,312,312,467,446,385,371,164.54,107.66,137.15,137.77,142.54,143.82
125,1.116,1,Left,0.941,314,314,461,443,384,370,164.66,106.4,139.56,140.48,145.45,146.62
126,1.125,1,Left,0.951,311,311,464,453,397,385,165.13,109.12,137.53,137.59,141.85,142.64
127,1.133,1,Left,0.935,310,310,473,465,412,400,164.59,108.71,135.92,135.93,140.31,141.33
128,1.142,1,Left,0.927,313,313,472,468,415,402,165.07,105.62,137.67,137.45,142.16,143.25
129,1.151,1,Left,0.949,320,320,476,477,427,418,164.17,104.04,136.5,135.5,139.31,139.65
130,1.159,1,Left,0.925,318,318,465,466,417,403,164.7,107.26,139.83,139.79,144.08,145.97
131,1.168,1,Left,0.944,318,318,464,467,420,409,164.83,106.06,138.24,137.65,141.63,142.16
132,1.176,1,Left,0.951,318,318,464,465,416,406,164.38,107.5,138.28,138.55,143.04,143.8
133,1.185,1,Left,0.938,317,317,470,467,417,406,164.44,107.33,136.78,137.68,142.12,143.1
134,1.193,1,Left,0.946,318,318,473,469,418,406,164.28,106.88,136.84,137.38,142.16,143.32
135,1.202,1,Left,0.939,322,322,468,468,417,404,163.68,105.63,138.72,138.02,142.27,143.76
136,1.21,1,Left,0.948,318,318,470,472,424,411,164.85,107.89,137.16,136.73,140.76,141.62
137,1.219,1,Left,0.936,320,320,462,454,400,383,164.98,104.66,139.73,142.03,147.61,149.85
138,1.227,1,Left,0.952,321,321,460,454,401,388,164.48,105.54,138.74,139.09,143.7,143.94
139,1.236,1,Left,0.954,327,327,464,455,401,391,164.19,102.79,137.43,138.78,143.63,144.22
140,1.244,1,Left,0.942,324,324,467,455,400,391,164.9,105.59,137.46,138.83,143.93,144.62
141,1.252,1,Left,0.952,326,326,464,452,396,389,164.72,103.89,138.6,139.8,144.85,145.15
142,1.261,1,Left,0.951,326,326,469,462,410,404,164.82,104.26,137.05,136.57,140.5,140.95
143,1.269,1,Left,0.941,326,326,471,467,418,411,164.63,104.44,137.2,137.0,140.98,141.75
144,1.278,1,Left,0.948,323,323,467,460,406,400,165.07,105.95,138.51,139.64,145.19,145.6
145,1.286,1,Left,0.943,326,326,456,455,405,405,164.16,103.91,140.65,139.86,143.46,142.54
146,1.295,1,Left,0.961,321,321,459,454,405,402,165.01,107.49,138.2,139.13,143.36,144.02
147,1.303,1,Left,0.926,311,311,465,458,406,405,165.61,110.77,137.23,138.15,143.22,142.83
148,1.312,1,Left,0.934,309,309,475,470,421,416,165.21,108.91,135.51,135.59,139.4,140.66
149,1.321,1,Left,0.949,317,317,471,469,423,417,164.44,103.75,138.25,137.96,141.64,142.21
150,1.329,1,Left,0.935,320,320,461,460,413,408,164.61,104.67,139.98,139.98,144.25,144.45
151,1.337,1,Left,0.954,320,320,467,460,411,403,165.04,104.96,136.95,138.3,143.18,144.32
152,1.346,1,Left,0.937,314,314,476,474,425,421,165.56,108.46,135.61,135.07,139.27,139.04
153,1.354,1,Left,0.938,316,316,472,467,416,408,165.37,104.73,138.13,138.97,143.78,145.13
154,1.363,1,Left,0.948,318,318,476,476,428,418,164.72,105.19,136.3,135.68,139.5,140.57
155,1.371,1,Left,0.937,323,323,478,486,443,433,164.2,103.83,136.76,134.44,137.5,138.47
156,1.38,1,Left,0.934,329,329,482,500,457,448,165.47,99.47,135.87,132.83,136.37,137.16
157,1.388,1,Left,0.922,334,334,459,472,431,423,164.13,101.16,142.52,142.0,145.28,145.77
158,1.397,1,Left,0.947,328,328,453,458,412,405,165.68,104.12,140.12,140.96,145.82,146.43
159,1.405,1,Left,0.956,331,331,469,476,430,423,164.29,102.72,135.06,134.14,138.19,138.66
160,1.413,1,Left,0.932,327,327,471,484,442,439,164.19,107.0,137.21,135.05,138.13,137.87
161,1.422,1,Left,0.942,328,328,476,478,431,423,164.55,103.81,136.19,137.87,142.97,144.41
162,1.43,1,Left,0.911,321,321,491,504,460,453,165.22,107.67,133.35,130.39,133.61,134.23
163,1.438,1,Left,0.934,326,326,494,505,462,449,164.68,102.58,135.02,134.3,138.19,140.13
164,1.447,1,Left,0.923,327,327,486,505,463,450,165.44,102.17,137.57,134.57,138.21,139.25
165,1.455,1,Left,0.926,327,327,491,517,478,464,165.37,102.82,135.0,131.49,134.43,135.94
166,1.463,1,Left,0.925,331,331,491,524,487,469,165.33,99.73,135.69,131.84,134.75,136.73
167,1.472,1,Left,0.928,329,329,478,509,472,460,164.83,104.31,139.23,136.55,139.81,140.08
168,1.481,1,Left,0.931,330,330,486,512,471,454,165.15,102.18,134.82,133.45,137.84,139.94
169,1.489,1,Left,0.934,332,332,479,510,471,461,163.86,103.62,138.06,134.58,137.42,137.25
170,1.498,1,Left,0.941,332,332,485,519,481,468,164.88,102.16,135.19,131.93,135.04,136.56
171,1.506,1,Left,0.929,334,334,470,501,464,456,163.51,104.02,140.2,137.88,141.03,140.81
172,1.515,1,Left,0.945,331,331,476,508,471,462,164.53,105.24,136.03,133.07,136.2,137.41
173,1.524,1,Left,0.928,333,333,463,487,450,445,163.84,103.28,140.41,139.68,142.91,142.59
174,1.532,1,Left,0.935,329,329,468,496,458,448,164.99,104.85,136.97,133.95,137.49,139.14
175,1.541,1,Left,0.911,328,328,469,495,456,449,164.89,103.58,137.73,135.6,139.07,139.19
176,1.55,1,Left,0.942,324,324,467,487,447,438,164.63,107.11,138.09,137.32,141.25,142.41
177,1.559,1,Left,0.922,322,322,478,501,459,453,165.53,105.15,135.22,132.78,136.52,136.72
178,1.568,1,Left,0.936,331,331,469,491,453,447,163.75,100.86,139.16,137.3,140.26,140.63
179,1.576,1,Left,0.957,328,328,477,498,460,451,164.53,105.84,135.73,134.06,137.42,138.69
180,1.585,1,Left,0.909,323,323,492,521,484,474,165.07,106.43,133.22,129.37,132.33,133.55
181,1.593,1,Left,0.942,328,328,482,519,488,479,163.88,103.16,138.24,133.57,135.43,136.02
182,1.601,1,Left,0.951,333,333,476,508,476,470,164.34,101.08,138.08,136.27,139.06,138.93
183,1.61,1,Left,0.938,325,325,477,511,479,470,165.3,106.88,136.8,133.38,136.41,137.72
184,1.619,1,Left,0.902,323,323,476,506,474,464,165.12,105.56,137.51,135.34,137.97,139.13
185,1.627,1,Left,0.949,321,321,474,495,459,449,165.0,105.53,137.63,137.14,141.15,141.85
186,1.635,1,Left,0.932,323,323,480,514,480,468,165.39,102.64,135.61,130.9,133.24,134.84
187,1.644,1,Left,0.94,334,334,477,515,485,474,163.95,99.01,137.64,133.51,135.62,136.17
188,1.652,1,Left,0.95,334,334,465,496,458,450,164.66,102.37,139.89,138.46,143.0,143.44
189,1.662,1,Left,0.933,329,329,457,487,444,440,165.33,104.9,140.03,137.67,142.22,141.83
190,1.671,1,Left,0.933,328,328,465,503,463,456,165.41,102.22,136.72,132.16,135.16,136.31
191,1.679,1,Left,0.921,325,325,461,497,458,453,165.38,104.64,139.21,136.2,139.54,139.61
192,1.688,1,Left,0.921,324,324,463,504,462,450,165.04,104.96,137.86,133.43,137.6,140.0
193,1.696,1,Left,0.917,326,326,457,506,466,456,165.06,102.48,139.62,134.3,137.5,137.88
194,1.704,1,Left,0.919,330,330,436,473,433,426,165.37,100.5,144.19,142.71,146.05,146.45
195,1.713,1,Left,0.926,327,327,428,463,420,410,165.42,103.79,142.66,139.96,144.11,145.56
196,1.721,1,Left,0.927,332,332,430,460,414,405,164.29,101.1,140.75,139.06,143.54,144.2
197,1.729,1,Left,0.933,331,331,435,461,412,404,165.15,102.46,140.01,138.23,143.22,143.63
198,1.738,1,Left,0.943,333,333,441,469,420,413,165.25,100.29,139.22,136.41,140.71,141.24
199,1.746,1,Left,0.928,334,334,430,461,416,410,165.2,100.8,142.87,139.88,142.94,143.4
200,1.755,1,Left,0.927,330,330,439,479,438,429,165.48,104.03,139.04,133.86,136.83,138.15
201,1.763,1,Left,0.932,323,323,442,477,440,434,165.54,106.8,139.69,137.37,140.14,139.8
202,1.772,1,Left,0.941,326,326,449,467,419,415,164.92,102.5,138.31,139.56,145.42,145.72
203,1.78,1,Left,0.933,325,325,447,469,423,420,165.05,103.87,140.04,137.28,141.05,141.23
204,1.789,1,Left,0.922,322,322,449,474,430,428,165.41,105.25,139.14,136.56,140.19,139.96
205,1.798,1,Left,0.939,321,321,451,470,423,420,165.31,105.2,138.87,138.24,142.94,143.29
206,1.806,1,Left,0.943,323,323,453,469,421,423,165.46,102.75,138.88,137.8,142.26,141.37
207,1.815,1,Left,0.926,321,321,453,471,424,424,164.72,106.25,139.26,137.18,141.3,141.6
208,1.823,1,Left,0.949,327,327,460,478,427,429,165.15,100.33,137.24,135.82,140.77,140.27
